method,rank,score,source_photo,crop_image,gt_person_id,correct
centroid,1,0.8186,EjBRbsZ4L3kT36j/20260428_172130,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_172130/face_00.jpg,,1
centroid,2,0.8162,CdSg23WdQcjMDrZ/20260421_181430,data/steps/face_crop/CdSg23WdQcjMDrZ/20260421_181430/face_00.jpg,,1
centroid,3,0.8018,FCXZ97GMYoZfET9/20260421_182141,data/steps/face_crop/FCXZ97GMYoZfET9/20260421_182141/face_02.jpg,,1
centroid,4,0.7983,PKRGk5ArAJnotHc/20260428_164245,data/steps/face_crop/PKRGk5ArAJnotHc/20260428_164245/face_00.jpg,,1
centroid,5,0.7979,8a6stfqDGdg3MHX/20260428_170512,data/steps/face_crop/8a6stfqDGdg3MHX/20260428_170512/face_00.jpg,,1
centroid,6,0.7968,fQizjwKj2MaqQQC/20260506_171036,data/steps/face_crop/fQizjwKj2MaqQQC/20260506_171036/face_00.jpg,,1
centroid,7,0.7948,8a6stfqDGdg3MHX/20260428_164759,data/steps/face_crop/8a6stfqDGdg3MHX/20260428_164759/face_01.jpg,,1
centroid,8,0.7922,XfBqCe7qtcbfMLb/20260429_171553,data/steps/face_crop/XfBqCe7qtcbfMLb/20260429_171553/face_02.jpg,,1
centroid,9,0.7912,EjBRbsZ4L3kT36j/20260428_171833,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_171833/face_00.jpg,,1
centroid,10,0.7896,EjBRbsZ4L3kT36j/20260428_171622,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_171622/face_00.jpg,,1
centroid,11,0.7886,EjBRbsZ4L3kT36j/20260428_171418,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_171418/face_00.jpg,,1
centroid,12,0.7855,CdSg23WdQcjMDrZ/20260421_180939,data/steps/face_crop/CdSg23WdQcjMDrZ/20260421_180939/face_00.jpg,,1
centroid,13,0.7827,FCXZ97GMYoZfET9/20260421_183356,data/steps/face_crop/FCXZ97GMYoZfET9/20260421_183356/face_00.jpg,,1
centroid,14,0.7799,EjBRbsZ4L3kT36j/20260428_171907,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_171907/face_01.jpg,,1
centroid,15,0.7785,CdSg23WdQcjMDrZ/20260421_175559,data/steps/face_crop/CdSg23WdQcjMDrZ/20260421_175559/face_00.jpg,,1
centroid,16,0.7785,FCXZ97GMYoZfET9/20260421_182355,data/steps/face_crop/FCXZ97GMYoZfET9/20260421_182355/face_03.jpg,,1
centroid,17,0.7779,fQizjwKj2MaqQQC/20260506_172416,data/steps/face_crop/fQizjwKj2MaqQQC/20260506_172416/face_00.jpg,,1
centroid,18,0.7761,EjBRbsZ4L3kT36j/20260428_171954,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_171954/face_00.jpg,,1
centroid,19,0.7735,FCXZ97GMYoZfET9/20260421_183141,data/steps/face_crop/FCXZ97GMYoZfET9/20260421_183141/face_01.jpg,,1
centroid,20,0.7725,8a6stfqDGdg3MHX/20260428_171105,data/steps/face_crop/8a6stfqDGdg3MHX/20260428_171105/face_00.jpg,,1
centroid,21,0.7716,FCXZ97GMYoZfET9/20260421_183733,data/steps/face_crop/FCXZ97GMYoZfET9/20260421_183733/face_02.jpg,,1
centroid,22,0.771,EjBRbsZ4L3kT36j/20260428_171840,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_171840/face_00.jpg,,1
centroid,23,0.7687,CdSg23WdQcjMDrZ/20260421_175521,data/steps/face_crop/CdSg23WdQcjMDrZ/20260421_175521/face_02.jpg,,1
centroid,24,0.7675,KGQ6aDsd2aaKoMX/20260422_172713,data/steps/face_crop/KGQ6aDsd2aaKoMX/20260422_172713/face_02.jpg,,1
centroid,25,0.7668,8a6stfqDGdg3MHX/20260428_170646,data/steps/face_crop/8a6stfqDGdg3MHX/20260428_170646/face_00.jpg,,1
centroid,26,0.7655,EcGMKXPB8XXMrSj/20260514_182549,data/steps/face_crop/EcGMKXPB8XXMrSj/20260514_182549/face_03.jpg,,1
centroid,27,0.7653,XfBqCe7qtcbfMLb/20260429_171643,data/steps/face_crop/XfBqCe7qtcbfMLb/20260429_171643/face_00.jpg,,1
centroid,28,0.7647,GRNn5dqntxTo6Am/20260429_164046,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_164046/face_00.jpg,,1
centroid,29,0.7633,8a6stfqDGdg3MHX/20260428_165203,data/steps/face_crop/8a6stfqDGdg3MHX/20260428_165203/face_02.jpg,,1
centroid,30,0.7593,KGQ6aDsd2aaKoMX/20260422_172747,data/steps/face_crop/KGQ6aDsd2aaKoMX/20260422_172747/face_00.jpg,,1
