method,rank,score,source_photo,crop_image,gt_person_id,correct
max,1,0.9638,EjBRbsZ4L3kT36j/20260428_172035,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_172035/face_01.jpg,,1
max,2,0.9509,EjBRbsZ4L3kT36j/20260428_171605,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_171605/face_01.jpg,,1
max,3,0.9468,EjBRbsZ4L3kT36j/20260428_171612,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_171612/face_00.jpg,,1
max,4,0.9387,GRNn5dqntxTo6Am/20260429_164355,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_164355/face_01.jpg,,1
max,5,0.9371,FCXZ97GMYoZfET9/20260421_181822,data/steps/face_crop/FCXZ97GMYoZfET9/20260421_181822/face_01.jpg,,1
max,6,0.9369,GRNn5dqntxTo6Am/20260429_162928,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_162928/face_00.jpg,,1
max,7,0.9314,KGQ6aDsd2aaKoMX/20260422_172747,data/steps/face_crop/KGQ6aDsd2aaKoMX/20260422_172747/face_01.jpg,,1
max,8,0.8907,EjBRbsZ4L3kT36j/20260428_171418,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_171418/face_02.jpg,,1
max,9,0.8503,KGQ6aDsd2aaKoMX/20260422_172713,data/steps/face_crop/KGQ6aDsd2aaKoMX/20260422_172713/face_04.jpg,,1
max,10,0.801,FCXZ97GMYoZfET9/20260421_184436,data/steps/face_crop/FCXZ97GMYoZfET9/20260421_184436/face_03.jpg,,1
max,11,0.8009,GRNn5dqntxTo6Am/20260429_163920,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_163920/face_02.jpg,,1
max,12,0.7985,FCXZ97GMYoZfET9/20260421_183647,data/steps/face_crop/FCXZ97GMYoZfET9/20260421_183647/face_02.jpg,,1
max,13,0.7961,EjBRbsZ4L3kT36j/20260428_171759,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_171759/face_02.jpg,,1
max,14,0.7884,KGQ6aDsd2aaKoMX/20260422_172734,data/steps/face_crop/KGQ6aDsd2aaKoMX/20260422_172734/face_00.jpg,,1
max,15,0.787,GRNn5dqntxTo6Am/20260429_164920,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_164920/face_01.jpg,,1
max,16,0.7808,FCXZ97GMYoZfET9/20260421_182355,data/steps/face_crop/FCXZ97GMYoZfET9/20260421_182355/face_02.jpg,,1
max,17,0.7764,6FTSxPHGgTHarEB/20260430_174708,data/steps/face_crop/6FTSxPHGgTHarEB/20260430_174708/face_03.jpg,,1
max,18,0.7714,EjBRbsZ4L3kT36j/20260428_172050,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_172050/face_01.jpg,,1
max,19,0.7679,CdSg23WdQcjMDrZ/20260421_181046,data/steps/face_crop/CdSg23WdQcjMDrZ/20260421_181046/face_02.jpg,,1
max,20,0.7611,GRNn5dqntxTo6Am/20260429_164633,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_164633/face_00.jpg,,1
