method,rank,score,source_photo,crop_image,gt_person_id,correct
centroid,58,0.6904,KGQ6aDsd2aaKoMX/20260422_172713,data/steps/face_crop/KGQ6aDsd2aaKoMX/20260422_172713/face_04.jpg,,1
centroid,59,0.6887,fQizjwKj2MaqQQC/20260506_172333,data/steps/face_crop/fQizjwKj2MaqQQC/20260506_172333/face_02.jpg,,1
centroid,60,0.6876,CdSg23WdQcjMDrZ/20260421_181010,data/steps/face_crop/CdSg23WdQcjMDrZ/20260421_181010/face_02.jpg,,1
centroid,61,0.6861,CdSg23WdQcjMDrZ/20260421_180503,data/steps/face_crop/CdSg23WdQcjMDrZ/20260421_180503/face_02.jpg,,1
centroid,62,0.6842,KGQ6aDsd2aaKoMX/20260422_174736,data/steps/face_crop/KGQ6aDsd2aaKoMX/20260422_174736/face_00.jpg,,1
centroid,63,0.6829,XfBqCe7qtcbfMLb/20260429_170837,data/steps/face_crop/XfBqCe7qtcbfMLb/20260429_170837/face_02.jpg,,1
centroid,64,0.6797,GRNn5dqntxTo6Am/20260429_163640,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_163640/face_01.jpg,,1
centroid,65,0.6789,CdSg23WdQcjMDrZ/20260421_174426,data/steps/face_crop/CdSg23WdQcjMDrZ/20260421_174426/face_00.jpg,,1
centroid,66,0.6774,XfBqCe7qtcbfMLb/20260429_171519,data/steps/face_crop/XfBqCe7qtcbfMLb/20260429_171519/face_02.jpg,,1
centroid,67,0.676,EjBRbsZ4L3kT36j/20260428_171547,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_171547/face_00.jpg,,1
centroid,68,0.6749,8a6stfqDGdg3MHX/20260428_165022,data/steps/face_crop/8a6stfqDGdg3MHX/20260428_165022/face_02.jpg,,1
centroid,69,0.6747,FCXZ97GMYoZfET9/20260421_184503,data/steps/face_crop/FCXZ97GMYoZfET9/20260421_184503/face_05.jpg,,1
centroid,70,0.6732,GRNn5dqntxTo6Am/20260429_164348,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_164348/face_01.jpg,,1
centroid,71,0.6726,GRNn5dqntxTo6Am/20260429_164616,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_164616/face_04.jpg,,1
centroid,72,0.672,fQizjwKj2MaqQQC/20260506_171737,data/steps/face_crop/fQizjwKj2MaqQQC/20260506_171737/face_02.jpg,,1
centroid,73,0.6709,XfBqCe7qtcbfMLb/20260429_171357,data/steps/face_crop/XfBqCe7qtcbfMLb/20260429_171357/face_01.jpg,,1
centroid,74,0.6697,CdSg23WdQcjMDrZ/20260421_180609,data/steps/face_crop/CdSg23WdQcjMDrZ/20260421_180609/face_01.jpg,,1
centroid,75,0.6691,EjBRbsZ4L3kT36j/20260428_171612,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_171612/face_00.jpg,,1
centroid,76,0.6655,EjBRbsZ4L3kT36j/20260428_171817,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_171817/face_01.jpg,,1
centroid,77,0.6626,GRNn5dqntxTo6Am/20260429_164741,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_164741/face_01.jpg,,1
centroid,78,0.6619,CdSg23WdQcjMDrZ/20260421_181046,data/steps/face_crop/CdSg23WdQcjMDrZ/20260421_181046/face_02.jpg,,1
centroid,79,0.6618,EcGMKXPB8XXMrSj/20260514_182307,data/steps/face_crop/EcGMKXPB8XXMrSj/20260514_182307/face_00.jpg,,1
centroid,80,0.6582,GRNn5dqntxTo6Am/20260429_164057,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_164057/face_01.jpg,,1
