method,rank,score,source_photo,crop_image,gt_person_id,correct
max,43,0.7767,KGQ6aDsd2aaKoMX/20260422_173250,data/steps/face_crop/KGQ6aDsd2aaKoMX/20260422_173250/face_00.jpg,,1
max,44,0.7742,EjBRbsZ4L3kT36j/20260428_171907,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_171907/face_01.jpg,,1
max,45,0.7645,GRNn5dqntxTo6Am/20260429_163945,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_163945/face_03.jpg,,1
max,46,0.7632,PKRGk5ArAJnotHc/20260428_161905,data/steps/face_crop/PKRGk5ArAJnotHc/20260428_161905/face_00.jpg,,1
max,47,0.7617,PKRGk5ArAJnotHc/20260428_163839,data/steps/face_crop/PKRGk5ArAJnotHc/20260428_163839/face_00.jpg,,1
max,48,0.7612,6FTSxPHGgTHarEB/20260430_171502,data/steps/face_crop/6FTSxPHGgTHarEB/20260430_171502/face_01.jpg,I0012,0
max,49,0.7567,fQizjwKj2MaqQQC/20260506_172549,data/steps/face_crop/fQizjwKj2MaqQQC/20260506_172549/face_01.jpg,,1
max,50,0.7566,GRNn5dqntxTo6Am/20260429_164741,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_164741/face_02.jpg,,1
max,51,0.7558,CdSg23WdQcjMDrZ/20260421_181430,data/steps/face_crop/CdSg23WdQcjMDrZ/20260421_181430/face_00.jpg,,1
max,52,0.7548,fQizjwKj2MaqQQC/20260506_172416,data/steps/face_crop/fQizjwKj2MaqQQC/20260506_172416/face_00.jpg,,1
max,53,0.7527,PKRGk5ArAJnotHc/20260428_163621,data/steps/face_crop/PKRGk5ArAJnotHc/20260428_163621/face_01.jpg,,1
max,54,0.7523,fQizjwKj2MaqQQC/20260506_172615,data/steps/face_crop/fQizjwKj2MaqQQC/20260506_172615/face_00.jpg,,1
max,55,0.7519,fQizjwKj2MaqQQC/20260506_172333,data/steps/face_crop/fQizjwKj2MaqQQC/20260506_172333/face_00.jpg,,1
max,56,0.751,fQizjwKj2MaqQQC/20260506_172119,data/steps/face_crop/fQizjwKj2MaqQQC/20260506_172119/face_01.jpg,,0
max,57,0.7502,KGQ6aDsd2aaKoMX/20260422_173218,data/steps/face_crop/KGQ6aDsd2aaKoMX/20260422_173218/face_01.jpg,,1
max,58,0.7497,fQizjwKj2MaqQQC/20260506_173655,data/steps/face_crop/fQizjwKj2MaqQQC/20260506_173655/face_00.jpg,,1
max,59,0.7497,fQizjwKj2MaqQQC/20260506_172625,data/steps/face_crop/fQizjwKj2MaqQQC/20260506_172625/face_01.jpg,,1
max,60,0.7487,CdSg23WdQcjMDrZ/20260421_180832,data/steps/face_crop/CdSg23WdQcjMDrZ/20260421_180832/face_02.jpg,,1
